行政级别,中文名称,行政区代码
1,亚洲,222222222
2,中华人民共和国,CN
3,北京市,110000
4,北京城区,110100
3,天津市,120000
4,天津城区,120100
3,河北省,130000
4,石家庄市,130100
4,唐山市,130200
4,秦皇岛市,130300
4,邯郸市,130400
4,邢台市,130500
4,保定市,130600
4,张家口市,130700
4,承德市,130800
4,沧州市,130900
4,廊坊市,131000
4,衡水市,131100
3,山西省,140000
4,太原市,140100
4,大同市,140200
4,阳泉市,140300
4,长治市,140400
4,晋城市,140500
4,朔州市,140600
4,晋中市,140700
4,运城市,140800
4,忻州市,140900
4,临汾市,141000
4,吕梁市,141100
3,内蒙古自治区,150000
4,呼和浩特市,150100
4,包头市,150200
4,乌海市,150300
4,赤峰市,150400
4,通辽市,150500
4,鄂尔多斯市,150600
4,呼伦贝尔市,150700
4,巴彦淖尔市,150800
4,乌兰察布市,150900
4,兴安盟,152200
4,锡林郭勒盟,152500
4,阿拉善盟,152900
3,辽宁省,210000
4,沈阳市,210100
4,大连市,210200
4,鞍山市,210300
4,抚顺市,210400
4,本溪市,210500
4,丹东市,210600
4,锦州市,210700
4,营口市,210800
4,阜新市,210900
4,辽阳市,211000
4,盘锦市,211100
4,铁岭市,211200
4,朝阳市,211300
4,葫芦岛市,211400
3,吉林省,220000
4,长春市,220100
4,吉林市,220200
4,四平市,220300
4,辽源市,220400
4,通化市,220500
4,白山市,220600
4,松原市,220700
4,白城市,220800
4,延边朝鲜族自治州,222400
3,黑龙江省,230000
4,哈尔滨市,230100
4,齐齐哈尔市,230200
4,鸡西市,230300
4,鹤岗市,230400
4,双鸭山市,230500
4,大庆市,230600
4,伊春市,230700
4,佳木斯市,230800
4,七台河市,230900
4,牡丹江市,231000
4,黑河市,231100
4,绥化市,231200
4,大兴安岭地区,232700
3,上海市,310000
4,上海城区,310100
3,江苏省,320000
4,南京市,320100
4,无锡市,320200
4,徐州市,320300
4,常州市,320400
4,苏州市,320500
4,南通市,320600
4,连云港市,320700
4,淮安市,320800
4,盐城市,320900
4,扬州市,321000
4,镇江市,321100
4,泰州市,321200
4,宿迁市,321300
3,浙江省,330000
4,杭州市,330100
4,宁波市,330200
4,温州市,330300
4,嘉兴市,330400
4,湖州市,330500
4,绍兴市,330600
4,金华市,330700
4,衢州市,330800
4,舟山市,330900
4,台州市,331000
4,丽水市,331100
3,安徽省,340000
4,合肥市,340100
4,芜湖市,340200
4,蚌埠市,340300
4,淮南市,340400
4,马鞍山市,340500
4,淮北市,340600
4,铜陵市,340700
4,安庆市,340800
4,黄山市,341000
4,滁州市,341100
4,阜阳市,341200
4,宿州市,341300
4,六安市,341500
4,亳州市,341600
4,池州市,341700
4,宣城市,341800
3,福建省,350000
4,福州市,350100
4,厦门市,350200
4,莆田市,350300
4,三明市,350400
4,泉州市,350500
4,漳州市,350600
4,南平市,350700
4,龙岩市,350800
4,宁德市,350900
3,江西省,360000
4,南昌市,360100
4,景德镇市,360200
4,萍乡市,360300
4,九江市,360400
4,新余市,360500
4,鹰潭市,360600
4,赣州市,360700
4,吉安市,360800
4,宜春市,360900
4,抚州市,361000
4,上饶市,361100
3,山东省,370000
4,济南市,370100
4,青岛市,370200
4,淄博市,370300
4,枣庄市,370400
4,东营市,370500
4,烟台市,370600
4,潍坊市,370700
4,济宁市,370800
4,泰安市,370900
4,威海市,371000
4,日照市,371100
4,临沂市,371300
4,德州市,371400
4,聊城市,371500
4,滨州市,371600
4,菏泽市,371700
3,河南省,410000
4,郑州市,410100
4,开封市,410200
4,洛阳市,410300
4,平顶山市,410400
4,安阳市,410500
4,鹤壁市,410600
4,新乡市,410700
4,焦作市,410800
4,濮阳市,410900
4,许昌市,411000
4,漯河市,411100
4,三门峡市,411200
4,南阳市,411300
4,商丘市,411400
4,信阳市,411500
4,周口市,411600
4,驻马店市,411700
4,济源市,419001
3,湖北省,420000
4,武汉市,420100
4,黄石市,420200
4,十堰市,420300
4,宜昌市,420500
4,襄阳市,420600
4,鄂州市,420700
4,荆门市,420800
4,孝感市,420900
4,荆州市,421000
4,黄冈市,421100
4,咸宁市,421200
4,随州市,421300
4,恩施土家族苗族自治州,422800
4,仙桃市,429004
4,潜江市,429005
4,天门市,429006
4,神农架林区,429021
3,湖南省,430000
4,长沙市,430100
4,株洲市,430200
4,湘潭市,430300
4,衡阳市,430400
4,邵阳市,430500
4,岳阳市,430600
4,常德市,430700
4,张家界市,430800
4,益阳市,430900
4,郴州市,431000
4,永州市,431100
4,怀化市,431200
4,娄底市,431300
4,湘西土家族苗族自治州,433100
3,广东省,440000
4,广州市,440100
4,韶关市,440200
4,深圳市,440300
4,珠海市,440400
4,汕头市,440500
4,佛山市,440600
4,江门市,440700
4,湛江市,440800
4,茂名市,440900
4,肇庆市,441200
4,惠州市,441300
4,梅州市,441400
4,汕尾市,441500
4,河源市,441600
4,阳江市,441700
4,清远市,441800
4,东莞市,441900
4,中山市,442000
4,东沙群岛,442100
4,潮州市,445100
4,揭阳市,445200
4,云浮市,445300
3,广西壮族自治区,450000
4,南宁市,450100
4,柳州市,450200
4,桂林市,450300
4,梧州市,450400
4,北海市,450500
4,防城港市,450600
4,钦州市,450700
4,贵港市,450800
4,玉林市,450900
4,百色市,451000
4,贺州市,451100
4,河池市,451200
4,来宾市,451300
4,崇左市,451400
3,海南省,460000
4,海口市,460100
4,三亚市,460200
4,三沙市,460300
4,儋州市,460400
4,五指山市,469001
4,琼海市,469002
4,文昌市,469005
4,万宁市,469006
4,东方市,469007
4,定安县,469021
4,屯昌县,469022
4,澄迈县,469023
4,临高县,469024
4,白沙黎族自治县,469025
4,昌江黎族自治县,469026
4,乐东黎族自治县,469027
4,陵水黎族自治县,469028
4,保亭黎族苗族自治县,469029
4,琼中黎族苗族自治县,469030
3,重庆市,500000
4,重庆城区,500100
4,重庆郊县,500200
3,四川省,510000
4,成都市,510100
4,自贡市,510300
4,攀枝花市,510400
4,泸州市,510500
4,德阳市,510600
4,绵阳市,510700
4,广元市,510800
4,遂宁市,510900
4,内江市,511000
4,乐山市,511100
4,南充市,511300
4,眉山市,511400
4,宜宾市,511500
4,广安市,511600
4,达州市,511700
4,雅安市,511800
4,巴中市,511900
4,资阳市,512000
4,阿坝藏族羌族自治州,513200
4,甘孜藏族自治州,513300
4,凉山彝族自治州,513400
3,贵州省,520000
4,贵阳市,520100
4,六盘水市,520200
4,遵义市,520300
4,安顺市,520400
4,毕节市,520500
4,铜仁市,520600
4,黔西南布依族苗族自治州,522300
4,黔东南苗族侗族自治州,522600
4,黔南布依族苗族自治州,522700
3,云南省,530000
4,昆明市,530100
4,曲靖市,530300
4,玉溪市,530400
4,保山市,530500
4,昭通市,530600
4,丽江市,530700
4,普洱市,530800
4,临沧市,530900
4,楚雄彝族自治州,532300
4,红河哈尼族彝族自治州,532500
4,文山壮族苗族自治州,532600
4,西双版纳傣族自治州,532800
4,大理白族自治州,532900
4,德宏傣族景颇族自治州,533100
4,怒江傈僳族自治州,533300
4,迪庆藏族自治州,533400
3,西藏自治区,540000
4,拉萨市,540100
4,日喀则市,540200
4,昌都市,540300
4,林芝市,540400
4,山南市,540500
4,那曲市,540600
4,阿里地区,542500
3,陕西省,610000
4,西安市,610100
4,铜川市,610200
4,宝鸡市,610300
4,咸阳市,610400
4,渭南市,610500
4,延安市,610600
4,汉中市,610700
4,榆林市,610800
4,安康市,610900
4,商洛市,611000
3,甘肃省,620000
4,兰州市,620100
4,嘉峪关市,620200
4,金昌市,620300
4,白银市,620400
4,天水市,620500
4,武威市,620600
4,张掖市,620700
4,平凉市,620800
4,酒泉市,620900
4,庆阳市,621000
4,定西市,621100
4,陇南市,621200
4,临夏回族自治州,622900
4,甘南藏族自治州,623000
3,青海省,630000
4,西宁市,630100
4,海东市,630200
4,海北藏族自治州,632200
4,黄南藏族自治州,632300
4,海南藏族自治州,632500
4,果洛藏族自治州,632600
4,玉树藏族自治州,632700
4,海西蒙古族藏族自治州,632800
3,宁夏回族自治区,640000
4,银川市,640100
4,石嘴山市,640200
4,吴忠市,640300
4,固原市,640400
4,中卫市,640500
3,新疆维吾尔自治区,650000
4,乌鲁木齐市,650100
4,克拉玛依市,650200
4,吐鲁番市,650400
4,哈密市,650500
4,昌吉回族自治州,652300
4,博尔塔拉蒙古自治州,652700
4,巴音郭楞蒙古自治州,652800
4,阿克苏地区,652900
4,克孜勒苏柯尔克孜自治州,653000
4,喀什地区,653100
4,和田地区,653200
4,伊犁哈萨克自治州,654000
4,塔城地区,654200
4,阿勒泰地区,654300
4,石河子市,659001
4,阿拉尔市,659002
4,图木舒克市,659003
4,五家渠市,659004
4,北屯市,659005
4,铁门关市,659006
4,双河市,659007
4,可克达拉市,659008
4,昆玉市,659009
2,中国香港,810000
2,中国澳门,820000
1,港澳台,111111111
1,欧洲,333333333
1,北美洲,444444444
1,南美洲,555555555
1,非洲,666666666
1,大洋洲,777777777
1,南极洲,888888888
2,阿拉伯联合酋长国,784000000
2,巴基斯坦,586000000
2,韩国,410000000
2,马来西亚,458000000
2,美国,840000000
2,日本,392000000
2,沙特阿拉伯,682000000
2,泰国,764000000
2,土耳其,792000000
2,新加坡,702000000
2,港澳台（测试）,121111111
2,中国台湾,710000000
2,测试,710000
2,澳大利亚,936000000
2,新西兰,554000000
2,俄罗斯,643000000
2,法国,250000000
2,葡萄牙,620000000
2,西班牙,724000000
2,意大利,380000000
2,英国,826000000
2,加拿大,124000000
2,斐济,242000000
