年度排名	历史排名	电影名称	总票房	总人次	总场次	上映年份	操作
1	1	长津湖	2	384	6	2021	数据纠错
1	2	战狼2	2	649	9	2017	数据纠错
1	3	哪吒之魔童降世	3	603	1	2019	数据纠错
2	4	流浪地球	3	231	4	2019	数据纠错
3	5	复仇者联盟4：终局之战	3	368	7	2019	数据纠错
1	6	红海行动	8	370	10	2018	数据纠错
1	7	美人鱼	8	570	8	2016	数据纠错
2	8	唐人街探案2	7	428	3	2018	数据纠错
4	9	我和我的祖国	10	882	8	2019	数据纠错
3	10	我不是药神	6	490	3	2018	数据纠错
5	11	中国机长	3	238	4	2019	数据纠错
2	12	速度与激情8	5	558	5	2017	数据纠错
4	13	西虹市首富	9	135	7	2018	数据纠错
1	14	速度与激情7	9	208	2	2015	数据纠错
2	15	捉妖记	2	201	5	2015	数据纠错
5	16	复仇者联盟3：无限战争	7	789	6	2018	数据纠错
6	17	捉妖记2	8	531	9	2018	数据纠错
3	18	羞羞的铁拳	3	689	4	2017	数据纠错
6	19	疯狂的外星人	6	538	4	2019	数据纠错
7	20	海王	7	442	6	2018	数据纠错
